author,title,short_text
Виктор Пелевин,Generation «П»,"— Как это странно — он умер, а мы живем... Только я подозреваю, что каждый раз, когда мы ложимся спать, мы точно так же умираем. И солнце уходит навсегда, и заканчивается вся история. А потом небытие надоедает само себе, и мы просыпаемся. И мир возникает снова.

— Как это небытие может надоесть само себе?

— Когда ты просыпаешься, ты каждый раз заново появляешься из ниоткуда. И все остальное точно так же. А смерть — это замена знакомого утреннего пробуждения чем-то другим, о чем совершенно невозможно думать. У нас нет для этого инструмента, потому что наш ум и мир — одно и то же.

Татарский попытался понять, что это значит, и заметил, что думать стало сложно и даже опасно, потому что его мысли обрели такую свободу и силу, что он больше не мог их контролировать. Ответ сразу же появился перед ним в виде трехмерной геометрической фигуры. Татарский увидел свой ум — это была ярко-белая сфера, похожая на солнце, но абсолютно спокойная и неподвижная. Из центра сферы к ее границе тянулись темные скрученные ниточки-волоконца. Татарский понял, что это и есть его пять чувств. Волоконце чуть потолще было зрением, потоньше — слухом, а остальные были почти невидимы. Вокруг этих неподвижных волокон плясала извивающаяся спираль, похожая на нить электрической лампы, которая то совпадала на миг с одним из них, то завивалась сама вокруг себя светящимся клубком вроде того, что оставляет в темноте огонек быстро вращаемой сигареты. Это была мысль, которой был занят его ум.

«Значит, никакой смерти нет, — с радостью подумал Татарский. — Почему? Да потому, что ниточки исчезают, но шарик-то остается!»

То, что ему удалось сформулировать ответ на вопрос, терзавший человечество последние несколько тысяч лет, в таких простых и всякому понятных терминах, наполнило его счастьем."
Харуки Мураками,Седьмой,"Тело К. сколько ни искали, так и не нашли. Вместе с ним бесследно пропала собака. Обычно утонувших в этих краях людей сносило течением на восток к маленькой бухточке, и через несколько дней выбрасывало волной на берег. Но только К. нигде не могли обнаружить. Видимо, волна была такой большой, что его унесло далеко в открытое море. Он опустился на дно, став кормом для рыб. Местные рыбаки долго разыскивали его тело, но поиски не принесли результатов и на том закончились. А раз нет трупа — нет и похорон. С тех пор родители К. будто впали в безумие. Они то день-деньской бесцельно бродили по берегу, то, запершись в своем доме, читали молитвы.

Однако ни разу они не упрекнули меня за то, что в самый разгар тайфуна я повел К. за собой к морю. Наверное, потому, что хорошо знали: мы с К. были почти братьями. Мои родители тоже старались не вспоминать об этом. Но сам я понимал: при желании я мог спасти К. Пожалуй, добежал бы до места, где он стоял, оттащил туда, куда не дошла бы волна. Пусть даже все произошло в последний момент, мысленно возвращаясь назад, я осознаю, что запас времени у меня был. Но как я уже сказал, меня подавило ужасом, и, бросив К., я спас только себя. Оттого ли, что меня не осуждали родители К., а может потому, что окружающие обходили эту тему стороной, пытаясь не сыпать соль на раны, я мучился вдвойне и долго не мог отойти от психологического шока. Я забросил школу, ел кое-как и целыми днями валялся на кровати, пялясь в потолок."
Луи-Фердинанд Селин,Путешествие на край ночи,"Семена будущего сволочного мира прорастали еще в самой толще войны.

Чтобы угадать, какой станет наша жизнь, эта истеричка, достаточно было посмотреть, как она неистовствует в кабаке «Олимпия». Внизу, в длинном подвале-дансинге, искоса подглядывавшем за тобой сотней зеркал, она трепыхалась в пыли и отчаянии под негро-иудео-саксонскую музыку. Британцы вперемешку с черными. Повсюду на алых диванах курили и орали меланхоличные и воинственные левантинцы и русские. Их мундиры, полустершиеся теперь в нашей памяти, были ростками сегодняшнего дня, который покамест все еще созревает, но мало-помалу тоже превратится в кучу перегноя.

Каждую неделю, раздразнив в себе вожделение несколькими часами, проведенными в «Олимпии», мы всей компанией отправлялись с визитом к нашей бельевщице, перчаточнице и книгопродавщице мадам Эрот в тупике Березина за «Фоли-Бержер»; теперь его больше не существует, а тогда девочки выводили туда собачек на поводке делать свои дела.

Мы ходили к ней искать на ощупь свое счастье, которому яростно угрожал весь мир. Желаний своих мы, конечно, стыдились, но привередничать не приходилось. Отказываться от любви еще трудней, чем от жизни. В этом мире так уж повелось: то убиваешь, то любишь — и все разом. «Я тебя ненавижу! Я тебя обожаю!» Ты защищаешься, тешишь себя надеждой и отчаянно силишься любой ценой передать жизнь двуногому существу следующего века, словно так уж неописуемо приятно знать, что у тебя будет продолжение и это, в конечном счете, обеспечит тебе вечность. Целоваться — как почесываться: хочется во что бы то ни стало."
Филип Дик,Бегущий по лезвию бритвы,"Он выудил из портфеля тестер Войт-Кампфа, расположился за ближайшим столиком и начал собирать датчик самописца.

— Можете пригласить первого испытуемого — сообщил он Элдону Роузену, который выглядел еще более осунувшимся, чем в первые секунды знакомства.

— Я бы хотела посмотреть — сказала Рейчел, усаживаясь рядом. — Я никогда не видела, как проводят тест на эмпатию. Что фиксируют ваши устройства?

— Вот это, — Рик приподнял плоский адгезивный диск с переплетенными проводами, — фиксирует изменение расширения капилляров. Вам известно, что это простейший рефлекторный ответ, так называемый «стыд» или «краска смущения» — реакция на морально шокирующий вопрос. Она не контролируется силой воли так, как можно управлять электропроводностью почки, дыханием и частотой сердечных сокращений. — Он показал Рейчел тонкий, как карандаш, цилиндр с лампочкой внутри. — Это регистратор изменения внутриглазного давления. Одновременно с «краской стыда» почти всегда можно зарегистрировать слабое, но уловимое изменение глазного давления...

— Которое не регистрируется у андроидов, — досказала за него Рейчел.

— У них не возникает ответа на раздражающие вопросы. Биологически они существуют. Потенциально — нет.

— Начинайте тест с меня, — сказала Рейчел."
Рэй Брэдбери,Все лето в один день,"

— Смотри, смотри, сам видишь!

Теснясь, точно цветы и сорные травы в саду, все вперемешку, дети старались выглянуть наружу — где там запрятано солнце? Лил дождь. Он лил, не переставая, семь лет подряд; тысячи и тысячи дней, с утра до ночи, без передышки дождь лил, шумел, барабанил, звенел хрустальными брызгами, низвергался сплошными потоками, так что кругом ходили волны, заливая островки суши. Ливнями повалило тысячи лесов, и тысячи раз они вырастали вновь и снова падали под тяжестью вод. Так навеки повелось здесь, на Венере, а в классе было полно детей, чьи отцы и матери прилетели застраивать и обживать эту дикую дождливую планету.

— Перестает! Перестает!

— Да, да!

Марго стояла в стороне от них, от всех этих ребят, которые только и знали, что вечный дождь, дождь, дождь. Им всем было по девять лет, и если выдался семь лет назад такой день, когда солнце все-таки выглянуло, показалось на час изумленному миру, они этого не помнили. Иногда по ночам Марго слышала, как они ворочаются, вспоминая, и знала: во сне они видят и вспоминают золото, яркий желтый карандаш, монету — такую большую, что можно купить целый мир. Она знала, им чудится, будто они помнят тепло, когда вспыхивает лицо и все тело — руки, ноги, дрожащие пальцы. А потом они просыпаются — и опять барабанит дождь, без конца сыплются звонкие прозрачные бусы на крышу, на дорожку, на сад и лес, и сны разлетаются как дым.

Накануне они весь день читали в классе про солнце. Какое оно желтое, совсем как лимон, и какое жаркое. И писали про него маленькие рассказы и стихи."
Эрленд Лу,Наивно. Супер,"Придя в кафе, я застаю там Кента. Оказывается, он не один, с ним еще двое, которых я не знаю. Кент сообщает, что один из них заканчивает докторскую по физике, а другой только что закончил медицинский факультет и в дальнейшем собирается специализироваться в области психиатрии. Здороваюсь.

Кент спрашивает меня, чем я сейчас занимаюсь, и я говорю, что бросил университет и занялся киданием об стенку мяча, потому что все потеряло вдруг смысл.

Очевидно, что эта новость не доходит до сознания Кента. Ничего не сказав по этому поводу, он спрашивает, встречался ли я в последнее время с какими-нибудь девушками. Я ответил, что не встречался ни с одной.

Кент умолкает.

Я немного потрепался с двумя его приятелями.

Психиатр спрашивает, воспринимаю ли я свои решения как бьющиеся о берег волны.

Я спрашиваю его, имеет ли он в виду сомнения, то есть что, оказавшись перед выбором, я испытываю сомнения.

Он говорит, что имеет в виду то, что сказал. Воспринимаю ли я свои решения как бьющиеся о берег волны?

В известном смысле это похоже. И я отвечаю «да».

Психиатр кивает и говорит, что это хорошо. В противном случае он констатировал бы у меня психоз.

Мы чокаемся бокалами с пивом в честь того, что у меня нет психоза."
Ален-Фурнье,Большой Мольн,"«Дорогой Франсуа,

сегодня я приехал в Париж и сразу же пошел к дому, о котором говорил Франц. Я никого не нашел. Дом пуст. Он всегда будет пуст.

Это небольшой двухэтажный особняк. Комната мадемуазель де Гале должна быть наверху. Окна второго этажа больше других затенены деревьями. Но если смотреть с тротуара, они видны довольно хорошо. Все шторы спущены, и только безумец может надеяться, что в один прекрасный день за одной из них появится лицо Ивонны де Гале.

Дом выходит на бульвар... Моросил небольшой дождь, на зазеленевших деревьях блестела листва. Слышались резкие звонки трамваев, которые непрерывно, один за другим, шли по улице.

Почти два часа я шагал взад и вперед под окнами. Чтобы меня не приняли за грабителя, задумавшего недоброе, я зашел в лавку и выпил стакан вина. Потом снова, без всякой надежды, принялся ходить возле дома.

Наступил вечер. В окнах стали загораться огни — во всех домах, только не в этом. Ясно, что в нем никто не живет. А ведь пасха не за горами.

Я уже собирался уходить; в это время какая-то девушка — или молодая женщина — подошла к дому и села на мокрую от дождя скамейку. Она была в черном платье с маленьким белым воротничком. Когда я уходил, она все еще сидела на своем месте, сидела неподвижно, несмотря на вечернюю прохладу, и ждала — неведомо чего, неведомо кого. Как видишь, в Париже полно безумных, вроде меня.

Огюстен»."
Герман Гессе,Степной волк,"— Целься в шофера! — быстро приказал Густав, тяжелая машина мчалась как раз мимо нас.

И вот уже я прицелился и выстрелил — в синий картуз водителя. Шофер повалился, машина пронеслась дальше, ударилась о скалу, отскочила назад, тяжело и злобно, как большой, толстый шмель, ударилась о низкую стенку, опрокинулась и, с тихим, коротким треском перемахнув через нее, рухнула в пропасть.

— Готово! — засмеялся Густав. — Следующего я беру на себя.

Вот уже снова летела сюда машина, на сиденьях видны были три или четыре фигурки пассажиров, за одной женской головкой неподвижно и горизонтально плыл конец шарфа, голубого шарфа, его мне, собственно, было жаль, кто знает, не смеялось ли под ним прекрасное женское лицо. Господи, если уж мы играем в разбойников, то было бы, наверно, правильней и красивей следовать великим примерам и не распространять нашей славной кровожадности на прекрасных дам. Шофер дернулся, повалился, машина подпрыгнула у отвесной скалы, отскочила и плюхнулась колесами вверх на дорогу. Мы подождали, ничто не шевельнулось, люди бесшумно лежали под машиной, как в ловушке. Машина еще урчала, хрипела и забавно вращала колесами в воздухе, но вдруг она издала страшный треск и вспыхнула светлым пламенем.

— «Форд», — сказал Густав. — Надо сойти вниз и очистить дорогу.

Мы спустились и осмотрели горящую груду. Она догорела очень скоро, мы тем временем сделали рычаги из молодых деревцев, затем приподняли ее, оттолкнули и сбросили через парапет с обрыва, после чего в кустах еще долго что-то трещало. Когда мы переворачивали машину, два трупа выпали, теперь они лежали на дороге, одежда обгорела. На одном довольно хорошо сохранился пиджак, я обследовал его карманы в надежде узнать, кто это был. Обнаружил бумажник, в нем визитные карточки. Я взял одну из них и прочел на ней слова: «Тат твам аси».

— Очень остроумно, — сказал Густав. — Но и в самом деле неважно, как зовут людей, которых мы сейчас убиваем. Они такие же бедняги, как мы, имена не имеют значения. Этот мир должен погибнуть, и мы с ним вместе."
Джозеф Хеллер,Видит Бог,"Ну и гвалт же стоял тогда в пустыне. Едва воды Черного моря сомкнулись за народом, потопляя колесницы фараоновы, как он уже стал забывать о суровых египетских начальниках, делавших жизнь его горькою от тяжкой работы, к которой принуждали его с жестокостью. Зато вспомнил котлы с мясом и хлеб, который ел досыта, и лук, и дыни, и огурцы.

В Рефидиме народ роптал на Моисея, потому что не было воды пить ему.

— Ради этого ты вывел нас из Египта? — укорял его народ. — Чтобы уморить жаждою нас, и детей наших, и стада наши?

Бог отвел их к воде. Он дал им манну небесную, по гомору в день на человека, то есть по десятой части ефы, но, прокормившись сорок лет манной, по гомору в день на человека, народ опять возроптал, требуя какой-нибудь добавки к манне.

— Все манна да манна, а больше ничего! — вопил народ. — А мы помним рыбу, которую в Египте мы ели даром, огурцы, и дыни, и лук-порей, и репчатый лук, и чеснок. Разве можно съесть столько манны? Ради этого ты вывел нас из Египта?

Тогда Бог снабдил их перепелами и отравил мясо, пока оно еще было в зубах их, и поразил народ весьма великою язвою. Вот и попробуй догадаться, что у Него на уме. Строй то, да строй се, это дерево используй для того, а то дерево используй для этого, да не вари козленка в молоке матери его. Почему? Не говорит. По злобе, если вас интересует мое мнение. У Него-то поди спроси."
Хорхе Луис Борхес,Вавилонская библиотека,"Как все люди Библиотеки, в юности я путешествовал. Это было паломничество в поисках книги, возможно каталога каталогов; теперь, когда глаза мои еле разбирают то, что я пишу, я готов окончить жизнь в нескольких милях от шестигранника, в котором появился на свет. Когда я умру, чьи-нибудь милосердные руки перебросят меня через перила, могилой мне станет бездонный воздух; мое тело будет медленно падать, разлагаясь и исчезая в ветре, который вызывает не имеющее конца падение. Я утверждаю, что Библиотека беспредельна. Идеалисты приводят доказательства того, что шестигранные помещения — это необходимая форма абсолютного пространства или, во всяком случае, нашего ощущения пространства. Они полагают, что треугольная или пятиугольная комната непостижимы. (Мистики уверяют, что в экстазе им является шарообразная зала с огромной круглой книгой, бесконечный корешок которой проходит по стенам; свидетельства сомнительны, речи неясны. Эта сферическая книга есть Бог.)

Пока можно ограничиться классическим определением: Библиотека — это шар, точный центр которого находится в одном из шестигранников, а поверхность — недосягаема. На каждой из стен каждого шестигранника находится пять полок, на каждой полке — тридцать две книги одного формата, в каждой книге четыреста страниц, на каждой странице сорок строчек, в каждой строке около восьмидесяти букв черного цвета. Буквы есть и на корешке книги, но они не определяют и не предвещают того, что скажут страницы. Это несоответствие, я знаю, когда-то казалось таинственным."
Борис Пастернак,Доктор Живаго,"Новое было также предметом мыслей второго круга, но насколько другое, насколько отличное новое! Это было не свое, привычное, старым подготовленное новое, а непроизвольное, неотменимое, реальностью предписанное новое, внезапное, как потрясение.

Таким новым была война, её кровь и ужасы, её бездомность и одичание. Таким новым были её испытания и житейская мудрость, которой война учила. Таким новым были захолустные города, куда война заносила, и люди, с которыми она сталкивала. Таким новым была революция, не по-университетски идеализированная под девятьсот пятый год, а эта, нынешняя, из войны родившаяся, кровавая, ни с чем не считающаяся солдатская революция, направляемая знатоками этой стихии, большевиками.

Таким новым была сестра Антипова, войной заброшенная Бог знает куда, с совершенно ему неведомой жизнью, никого ни в чем не укоряющая и почти жалующаяся своей безгласностью, загадочно немногословная и такая сильная своим молчанием. Таким новым было честное старание Юрия Адреевича изо всех сил не любить ее, так же как всю жизнь он старался относиться с любовью ко всем людям, не говоря уже о семье и близких.

Поезд несся на всех парах. Встречный ветер через опущенное окно трепал и пылил волосы Юрия Андреевича. На ночных остановках творилось то же самое, что на дневных, бушевала толпа и шелестели липы.

Иногда из глубины ночи к станциям со стуком подкатывали телеги и таратайки. Голоса и гром колес смешивались с шумом деревьев."
